Estado,Anio,PIB,PIBperCapita,Poblacion
Jalisco,2018,1207897.462,149266.4267,8092225
México,2003,1048403.59,77419.00841,13541941
México,2004,1073840.81,77801.39512,13802334
México,2005,1099376.794,78176.64396,14062727
México,2006,1150701.95,80338.77632,14323121
México,2007,1184658.428,81232.7172,14583514
México,2008,1198144.35,80716.24042,14843907
México,2009,1138727.918,75390.97545,15104301
México,2010,1226813.687,79846.28492,15364694
México,2011,1283448.197,82140.22883,15625087
México,2012,1339994.611,84353.42281,15885480
México,2013,1365154.229,84551.27844,16145874
México,2014,1402291.945,85472.94636,16406267
México,2015,1445183.505,86711.0455,16666660
México,2016,1485467.443,87757.00209,16927054
México,2017,1556925.971,90585.06573,17187447
México,2018,1605830.823,92036.08248,17447840
Michoacán,2003,294468.306,72773.1859,4046385
Michoacán,2004,301021.642,73772.4442,4080408
Michoacán,2005,306026.395,74378.79799,4114431
Michoacán,2006,320451.426,77245.99871,4148454
Michoacán,2007,328272.19,78487.51946,4182477
Michoacán,2008,334657.914,79368.66536,4216500
Michoacán,2009,317003.042,74579.78915,4250523
Michoacán,2010,329767.26,76966.69308,4284545
Michoacán,2011,343275.664,79488.31,4318568
Michoacán,2012,352030.387,80878.35571,4352591
Michoacán,2013,359465.987,81946.12327,4386614
Michoacán,2014,379655.442,85882.52696,4420637
Michoacán,2015,386038.362,86659.45444,4454660
Michoacán,2016,402111.981,89583.52255,4488683
Michoacán,2017,414856.586,91727.52998,4522706
Michoacán,2018,424377.529,93132.06985,4556729
Morelos,2003,158055.834,98988.87644,1596703
Morelos,2004,159734.875,98395.6031,1623395
Morelos,2005,171279.471,103800.3361,1650086
Morelos,2006,168177.81,100298.2352,1676778
Morelos,2007,169325.362,99400.3295,1703469
Morelos,2008,169672.507,98067.50794,1730161
Morelos,2009,168348.348,95823.87868,1756852
Morelos,2010,174984.467,98110.58515,1783544
Morelos,2011,174678.088,96494.72075,1810235
Morelos,2012,175717.837,95658.63052,1836927
Morelos,2013,182126.143,97727.20807,1863618
Morelos,2014,185662.448,98218.03952,1890310
Morelos,2015,187472.397,97794.65211,1917001
Morelos,2016,194412.078,100022.0621,1943692
Morelos,2017,203238.504,103146.6779,1970384
Morelos,2018,201363.236,100829.0866,1997075
Nayarit,2003,76105.196,78486.65051,969658
Nayarit,2004,86879.422,88550.2844,981131
Nayarit,2005,90269.847,90942.45742,992604
Nayarit,2006,92165.697,91791.45589,1004078
Nayarit,2007,91675.276,90271.53912,1015551
Nayarit,2008,98292.89,95706.58791,1027024
Nayarit,2009,93038.497,89589.62609,1038497
Nayarit,2010,97786.134,93132.36557,1049970
Nayarit,2011,100704.16,94874.81601,1061443
Nayarit,2012,100800.218,93949.81465,1072916
Nayarit,2013,103627.459,95563.02526,1084389
Nayarit,2014,108986.732,99452.99668,1095862
Nayarit,2015,114062.999,103006.7862,1107335
Nayarit,2016,119473.243,106786.2009,1118808
Nayarit,2017,121000.114,107053.1295,1130281
Nayarit,2018,120495.124,105535.0976,1141755
Nuevo León,2003,803888.528,196421.7511,4092666
Nuevo León,2004,849841.554,203904.6532,4167838
Nuevo León,2005,885438.787,208681.7386,4243011
Nuevo León,2006,946837.916,219267.676,4318183
Nuevo León,2007,1004636.521,228671.8139,4393356
Nuevo León,2008,1020366.768,228345.1803,4468528
Nuevo León,2009,952725.778,209680.6005,4543701
Nuevo León,2010,1025184.258,221955.5175,4618873
Nuevo León,2011,1069812.268,227908.3943,4694046
Nuevo León,2012,1113817.766,233543.0856,4769218
Nuevo León,2013,1124999.893,232227.3623,4844390
Nuevo León,2014,1161168.669,236030.8873,4919563
Nuevo León,2015,1228082.513,245875.4193,4994735
